,dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
61,iris,2,uniform,euclidean,7,0.9428666666666669,0.9442067211636488,0.9428666666666669,0.9428305432336772
62,iris,2,uniform,euclidean,8,0.9454666666666668,0.946385602477102,0.9454666666666666,0.9454533101311132
63,iris,2,uniform,euclidean,9,0.9458666666666666,0.9467571552446528,0.9458666666666666,0.9458524666051008
64,iris,2,distance,manhattan,2,0.9348666666666664,0.935199223537578,0.9348666666666668,0.9348444497946654
65,iris,2,distance,manhattan,3,0.9310666666666666,0.9313504776368472,0.9310666666666666,0.931045947251372
66,iris,2,distance,manhattan,4,0.9316,0.9318243017404982,0.9316,0.9315846178894024
67,iris,2,distance,manhattan,5,0.9309999999999999,0.9311574159103988,0.9309999999999999,0.9309896298308498
68,iris,2,distance,manhattan,6,0.9292,0.92937456077728,0.9292,0.9291882355414968
69,iris,2,distance,manhattan,7,0.9301999999999998,0.9303570313342892,0.9302000000000002,0.9301895366004546
70,iris,2,distance,manhattan,8,0.9302666666666664,0.930393280132566,0.9302666666666668,0.9302582915994682
71,iris,2,distance,manhattan,9,0.9295333333333328,0.9296478032238534,0.9295333333333334,0.9295255917268396
72,iris,2,distance,euclidean,2,0.9371999999999998,0.9381182498416206,0.9372,0.9372997062038276
73,iris,2,distance,euclidean,3,0.9402,0.9406701384016509,0.9402,0.940287687765226
74,iris,2,distance,euclidean,4,0.9431333333333334,0.9434077459149902,0.9431333333333336,0.9431982014895028
75,iris,2,distance,euclidean,5,0.9436,0.9438420876633006,0.9436,0.9436576674550582
76,iris,2,distance,euclidean,6,0.9442666666666668,0.944437781196741,0.9442666666666668,0.9442984380143729
77,iris,2,distance,euclidean,7,0.9451333333333336,0.9452313231053676,0.9451333333333334,0.945154163059147
78,iris,2,distance,euclidean,8,0.946,0.9460911209766926,0.9459999999999998,0.9460168145148566
79,iris,2,distance,euclidean,9,0.945,0.9451027231405384,0.945,0.9450303579377544
80,iris,2,sqrt-order,manhattan,2,0.9321333333333334,0.9325839611803276,0.9321333333333331,0.932101802048628
81,iris,2,sqrt-order,manhattan,3,0.9324666666666668,0.9326888374112088,0.9324666666666668,0.932451744858755
82,iris,2,sqrt-order,manhattan,4,0.9319333333333332,0.9321228216164924,0.9319333333333336,0.9319209330260226
83,iris,2,sqrt-order,manhattan,5,0.9297333333333332,0.9299183185367941,0.9297333333333336,0.929720835131988
84,iris,2,sqrt-order,manhattan,6,0.9308,0.9309264802599336,0.9308,0.9307915701846368
85,iris,2,sqrt-order,manhattan,7,0.9295333333333332,0.9296844563466412,0.9295333333333334,0.9295234040731004
86,iris,2,sqrt-order,manhattan,8,0.9300666666666664,0.9302067342321546,0.9300666666666666,0.930057310909162
87,iris,2,sqrt-order,manhattan,9,0.927,0.9271175690789136,0.927,0.9269916982254448
88,iris,2,sqrt-order,euclidean,2,0.9382666666666666,0.9389671662137392,0.9382666666666668,0.9383503271320416
89,iris,2,sqrt-order,euclidean,3,0.9419333333333334,0.9424007315526156,0.9419333333333332,0.9419999878911074
90,iris,2,sqrt-order,euclidean,4,0.9444666666666666,0.9447380983955256,0.9444666666666668,0.9445219250909116
91,iris,2,sqrt-order,euclidean,5,0.9440000000000002,0.9442849264889132,0.9440000000000001,0.9440660922131864
92,iris,2,sqrt-order,euclidean,6,0.9451333333333336,0.9452800825458391,0.9451333333333334,0.945161387047068
93,iris,2,sqrt-order,euclidean,7,0.9458666666666669,0.9459593968356572,0.9458666666666666,0.9458768339979255
94,iris,2,sqrt-order,euclidean,8,0.9457333333333336,0.9458432911626188,0.9457333333333334,0.9457588463128024
95,iris,2,sqrt-order,euclidean,9,0.9454000000000002,0.9455269299979304,0.9454,0.9454302172722429
96,iris,3,uniform,manhattan,2,0.9458,0.9462007858439656,0.9458,0.9457795368068154
97,iris,3,uniform,manhattan,3,0.9483333333333333,0.9486080641840704,0.9483333333333336,0.9483201716042124
98,iris,3,uniform,manhattan,4,0.9492,0.9493832740861944,0.9492,0.949191048402204
99,iris,3,uniform,manhattan,5,0.9479333333333334,0.9480924092712978,0.9479333333333332,0.9479253630997186
100,iris,3,uniform,manhattan,6,0.9468,0.946947047841257,0.9468,0.946792022506299
101,iris,3,uniform,manhattan,7,0.9482000000000004,0.9483121039251969,0.9482,0.94819429659417
102,iris,3,uniform,manhattan,8,0.9484666666666668,0.9485486020651456,0.9484666666666666,0.9484627920492488
103,iris,3,uniform,manhattan,9,0.9477333333333336,0.9478024266750004,0.9477333333333332,0.9477299189220479
104,iris,3,uniform,euclidean,2,0.946,0.9469331388844684,0.9459999999999998,0.9460764953009964
105,iris,3,uniform,euclidean,3,0.9448666666666666,0.9456920791660852,0.9448666666666669,0.9449691259045256
106,iris,3,uniform,euclidean,4,0.9447333333333332,0.9455049376924232,0.9447333333333334,0.9448842241026529
107,iris,3,uniform,euclidean,5,0.9450666666666666,0.9458077466660848,0.9450666666666666,0.9452188086530467
108,iris,3,uniform,euclidean,6,0.9449999999999998,0.9458549422632374,0.945,0.9451871519751626
109,iris,3,uniform,euclidean,7,0.9448666666666666,0.9456963742972271,0.9448666666666669,0.9450690256833552
110,iris,3,uniform,euclidean,8,0.9456666666666668,0.9464511193309024,0.9456666666666668,0.9458505898081496
111,iris,3,uniform,euclidean,9,0.9450000000000004,0.9459006919084859,0.945,0.9452092240649916
112,iris,3,distance,manhattan,2,0.9480666666666666,0.9484661188508176,0.9480666666666668,0.9480461970410567
113,iris,3,distance,manhattan,3,0.9492000000000002,0.9494119288224616,0.9492,0.9491901804789068
114,iris,3,distance,manhattan,4,0.9492000000000002,0.9493290483350516,0.9492,0.9491941968565693
115,iris,3,distance,manhattan,5,0.9487333333333337,0.9488440053546664,0.9487333333333332,0.9487279648170256
116,iris,3,distance,manhattan,6,0.9498,0.9498896527841906,0.9497999999999998,0.9497960591257204
117,iris,3,distance,manhattan,7,0.95,0.9500751028616576,0.95,0.9499967593237916
118,iris,3,distance,manhattan,8,0.9487333333333337,0.9487798852874484,0.9487333333333332,0.9487312997966464
119,iris,3,distance,manhattan,9,0.9482666666666668,0.94832075195383,0.9482666666666668,0.9482641725875106
120,iris,3,distance,euclidean,2,0.9494,0.9502459911544008,0.9494,0.949472799557182
121,iris,3,distance,euclidean,3,0.9473999999999998,0.948012951688568,0.9474,0.9475009222622522
122,iris,3,distance,euclidean,4,0.9478000000000002,0.9483587947125198,0.9478,0.9479238651318136
123,iris,3,distance,euclidean,5,0.9464,0.947066775269766,0.9464,0.9465741915649742
124,iris,3,distance,euclidean,6,0.9476666666666668,0.9483326777570548,0.9476666666666668,0.9478424281806928
125,iris,3,distance,euclidean,7,0.9474,0.9480418775008794,0.9474,0.947573122460558
126,iris,3,distance,euclidean,8,0.947,0.9477155447190788,0.947,0.94719819422591
127,iris,3,distance,euclidean,9,0.9474,0.948053194776683,0.9474,0.9475820941916048
128,iris,3,sqrt-order,manhattan,2,0.9466,0.9471086837119936,0.9466,0.9465720833483074
129,iris,3,sqrt-order,manhattan,3,0.9477333333333334,0.9479890339738456,0.9477333333333332,0.9477204177187312
130,iris,3,sqrt-order,manhattan,4,0.9475333333333334,0.9477077120355524,0.9475333333333332,0.947524494743556
131,iris,3,sqrt-order,manhattan,5,0.9475333333333336,0.9477065013860492,0.9475333333333332,0.9475248550038884
132,iris,3,sqrt-order,manhattan,6,0.9473333333333334,0.947468584287208,0.9473333333333332,0.9473264237501214
133,iris,3,sqrt-order,manhattan,7,0.9480666666666668,0.9481468648998064,0.9480666666666664,0.9480630326177876
134,iris,3,sqrt-order,manhattan,8,0.9486666666666668,0.948734614102051,0.9486666666666668,0.9486636393771428
135,iris,3,sqrt-order,manhattan,9,0.9481333333333336,0.9482133628412506,0.9481333333333332,0.9481293187659459
136,iris,3,sqrt-order,euclidean,2,0.9459333333333332,0.9469557345206364,0.9459333333333332,0.9459909191436194
137,iris,3,sqrt-order,euclidean,3,0.9450000000000002,0.9458533685799722,0.945,0.9451140769474926
138,iris,3,sqrt-order,euclidean,4,0.946,0.9466687743794516,0.9459999999999998,0.9461316349695374
139,iris,3,sqrt-order,euclidean,5,0.9428666666666669,0.9437628464777368,0.9428666666666669,0.9430510418729486
140,iris,3,sqrt-order,euclidean,6,0.9446666666666668,0.945480442330948,0.9446666666666668,0.9448433582840564
141,iris,3,sqrt-order,euclidean,7,0.9435333333333332,0.944518500435868,0.9435333333333332,0.9437427618862124
142,iris,3,sqrt-order,euclidean,8,0.9451333333333336,0.9459900839750226,0.9451333333333332,0.9453291606009157
