dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
glass,1,sqrt-order,2,9,0.7301869158878506,0.6940212612353044,0.7055463813071104,0.6963841785506846
glass,2,uniform,1,2,0.6652336448598131,0.6448423868821843,0.5490762922414999,0.5732636833237329
glass,2,uniform,1,3,0.6868224299065421,0.6734564148215104,0.5962441946065038,0.6162978312301816
glass,2,uniform,1,4,0.6918691588785048,0.6739496689458291,0.6066087118313285,0.6248760906322429
glass,2,uniform,1,5,0.6958878504672897,0.6822434251682856,0.6145497919396714,0.6316034317717434
glass,2,uniform,1,6,0.6949065420560746,0.6777757063678094,0.6166759982492074,0.6324130572077644
glass,2,uniform,1,7,0.695981308411215,0.6785368172193084,0.6178092446186286,0.633874421555536
glass,2,uniform,1,8,0.6985514018691589,0.6762667140129669,0.6199546509779242,0.6345214276770287
glass,2,uniform,1,9,0.6974299065420563,0.6777029614240846,0.6199405732587914,0.6347154752675754
glass,2,uniform,2,2,0.6544859813084112,0.642181637544666,0.5370743984643046,0.5598439797712118
glass,2,uniform,2,3,0.6771495327102803,0.6684860533121725,0.5830239483697367,0.6048535590603696
glass,2,uniform,2,4,0.6859345794392523,0.6789138777739354,0.5945026155001067,0.6177471385487139
glass,2,uniform,2,5,0.6850467289719627,0.6659087986595396,0.598440004220777,0.616533554449596
glass,2,uniform,2,6,0.6873364485981307,0.6731670042872321,0.6023617445318364,0.6209323011050739
glass,2,uniform,2,7,0.6904672897196262,0.678863962185782,0.607680506809577,0.6274377130579138
glass,2,uniform,2,8,0.6918691588785046,0.6772463540927735,0.6076420402308627,0.6266245297993754
glass,2,uniform,2,9,0.6931775700934579,0.6764166663691894,0.6097444121737919,0.6268251321305602
glass,2,distance,1,2,0.6944392523364487,0.6536511887442409,0.655715324419125,0.6507031695686162
glass,2,distance,1,3,0.7206542056074768,0.6824076356346194,0.6870954983960481,0.681944737889785
glass,2,distance,1,4,0.7219158878504675,0.6837550304990673,0.6887712696383562,0.683735773972272
glass,2,distance,1,5,0.7262616822429908,0.6889248709140537,0.6943619109905274,0.6893212312210388
glass,2,distance,1,6,0.7288317757009348,0.6927254946350205,0.6992296912575817,0.693881368711603
glass,2,distance,1,7,0.7292056074766358,0.6931251509851882,0.7008222495134526,0.6947161514015754
glass,2,distance,1,8,0.7325233644859814,0.6947013412985825,0.7047612630421427,0.697656815142412
glass,2,distance,1,9,0.7321028037383178,0.6957648404966272,0.7035160596681628,0.6976837370682357
glass,2,distance,2,2,0.6872897196261679,0.6453491865753002,0.6480309903740298,0.6423867094501202
glass,2,distance,2,3,0.7114018691588784,0.675277745215748,0.6795721417128752,0.6738108583484065
glass,2,distance,2,4,0.7194392523364485,0.685142163072865,0.6895980736718966,0.6838602083907527
glass,2,distance,2,5,0.7249065420560749,0.6870803489709321,0.694933239560735,0.6874361623381366
glass,2,distance,2,6,0.7251869158878503,0.6887939940440284,0.6988512891250159,0.6903700025677628
glass,2,distance,2,7,0.7275233644859814,0.6912528825314342,0.7017155993084252,0.6929235164789163
glass,2,distance,2,8,0.729158878504673,0.6917599733373069,0.7021573730272352,0.6933515763942905
glass,2,distance,2,9,0.728177570093458,0.6923610077479904,0.7045636223388172,0.6948030182497892
glass,2,sqrt-order,1,2,0.6983177570093457,0.6577090635843824,0.6542282806277148,0.6522253811484879
glass,2,sqrt-order,1,3,0.7173831775700937,0.6784964909431758,0.6860165887534841,0.6792221933619448
glass,2,sqrt-order,1,4,0.7236448598130842,0.6852373683678612,0.6948473048595553,0.6875433148582527
glass,2,sqrt-order,1,5,0.7249065420560749,0.6878395089803397,0.6971964489333977,0.6903221590689642
glass,2,sqrt-order,1,6,0.7294859813084114,0.6909580480667236,0.6989637289836126,0.6926576667922923
glass,2,sqrt-order,1,7,0.7325233644859811,0.6952817459900187,0.7031832603843653,0.6971457040246808
glass,2,sqrt-order,1,8,0.7291121495327104,0.6922865707616016,0.6995993995407894,0.6940388816335287
glass,2,sqrt-order,1,9,0.7324766355140185,0.695928300694559,0.7051436935315177,0.698632486854909
glass,2,sqrt-order,2,2,0.6887383177570093,0.6484324555857733,0.6412520011867188,0.6402753453813342
glass,2,sqrt-order,2,3,0.7082242990654207,0.6727735668548994,0.6741867021383141,0.6699721733860524
